country	region
Ukraine	Poltava
Ukraine	Rivne
Ukraine	Sumy
Ukraine	Ternopil'
Ukraine	Transcarpathia
Ukraine	Vinnytsya
Ukraine	Volyn
Ukraine	Zaporizhzhya
Ukraine	Zhytomyr
United Arab Emirates	Abu Dhabi
United Arab Emirates	Dubai
United Arab Emirates	Sharjah
United Kingdom	East Anglia
United Kingdom	East Midlands
United Kingdom	East of England
United Kingdom	Greater London
United Kingdom	London
United Kingdom	North East
United Kingdom	Northern Ireland
United Kingdom	North West
United Kingdom	Scotland
United Kingdom	South East
United Kingdom	South West
United Kingdom	Wales
United Kingdom	West Midlands
United Kingdom	Yorkshire and the Humber
Uruguay	Artigas
Uruguay	Canelones
Uruguay	Cerro Largo
Uruguay	Colonia
Uruguay	Durazno
Uruguay	Maldonado
Uruguay	Montevideo
Uruguay	Paysandú
Uruguay	Rivera
Uruguay	Rocha
Uruguay	Salto
Uruguay	San José
Uruguay	Soriano
Uruguay	Tacuarembó
Uzbekistan	Tashkent
Uzbekistan	Tashkent City
Venezuela	Anzoátegui
Venezuela	Apure
Venezuela	Aragua
Venezuela	Barinas
Venezuela	Bolívar
Venezuela	Carabobo
Venezuela	Distrito Capital
Venezuela	Guárico
Venezuela	Lara
Venezuela	Mérida
Venezuela	Miranda
Venezuela	Monagas
Venezuela	Nueva Esparta
Venezuela	Portuguesa
Venezuela	Sucre
Venezuela	Táchira
Venezuela	Vargas
Venezuela	Zulia
Vietnam	An Giang
Vietnam	Bắc Giang
Vietnam	Bắc Kạn
Vietnam	Bạc Liêu
Vietnam	Bắc Ninh
Vietnam	Bà Rịa - Vũng Tàu
Vietnam	Bến Tre
Vietnam	Bình Định
Vietnam	Bình Dương
Vietnam	Bình Phước
Vietnam	Bình Thuận
Vietnam	Cà Mau
Vietnam	Cần Thơ
Vietnam	Đắk Lắk
Vietnam	Đắk Nông
Vietnam	Đà Nẵng
Vietnam	Điện Biên
Vietnam	Đồng Nai
Vietnam	Đồng Tháp
Vietnam	Gia Lai
Vietnam	Hà Giang
Vietnam	Hải Dương
Vietnam	Hải Phòng
Vietnam	Hà Nam
Vietnam	Hà Nội
Vietnam	Hà Tĩnh
Vietnam	Hoà Bình
Vietnam	Hưng Yên
Vietnam	Khánh Hòa
Vietnam	Kiên Giang
Vietnam	Kon Tum
Vietnam	Lai Châu
Vietnam	Lâm Đồng
Vietnam	Lạng Sơn
Vietnam	Lào Cai
Vietnam	Long An
Vietnam	Nam Định
Vietnam	Nghệ An
Vietnam	Ninh Bình
Vietnam	Phú Thọ
Vietnam	Phú Yên
Vietnam	Quảng Bình
Vietnam	Quảng Nam
Vietnam	Quảng Ngãi
Vietnam	Quảng Ninh
Vietnam	Quảng Trị
Vietnam	Sóc Trăng
Vietnam	Sơn La
Vietnam	Tây Ninh
Vietnam	Thái Bình
Vietnam	Thái Nguyên
Vietnam	Thanh Hóa
Vietnam	Thành phố Hồ Chí Minh
Vietnam	Thừa Thiên Huế
Vietnam	Tiền Giang
Vietnam	Tuyên Quang
Vietnam	Vĩnh Phúc
Vietnam	Yên Bái
Yemen	Aden
Yemen	Sana'a
